sttl,sbytes,dbytes,sload,dur,rate,tcprtt,synack,ackdat,ct_dst_src_ltm,label
254,496,0,180363632,1.1e-05,90909.0902,0,0,0,2,0
254,1762,0,881000000,8e-06,125000.0003,0,0,0,2,0
254,1068,0,854400000,5e-06,200000.0051,0,0,0,3,0
254,900,0,600000000,6e-06,166666.6608,0,0,0,3,0
254,2126,0,850400000,1e-05,100000.0025,0,0,0,3,0
254,784,0,1045333312,3e-06,333333.3215,0,0,0,2,0
254,1960,0,1306666624,6e-06,166666.6608,0,0,0,2,0
254,1384,0,197714288,2.8e-05,35714.28522,0,0,0,3,0
0,46,0,0,0,0,0,0,0,2,0
0,46,0,0,0,0,0,0,0,2,0
0,46,0,0,0,0,0,0,0,2,0
0,46,0,0,0,0,0,0,0,2,0
254,1454,0,1454000000,4e-06,250000.0006,0,0,0,3,0
254,2062,0,1178285696,7e-06,142857.1409,0,0,0,3,0
254,2040,0,741818176,1.1e-05,90909.0902,0,0,0,1,0
254,1052,0,1052000000,4e-06,250000.0006,0,0,0,3,0
254,314,0,418666656,3e-06,333333.3215,0,0,0,2,0
254,1774,0,709600000,1e-05,100000.0025,0,0,0,2,0
254,1568,0,3136000000,2e-06,500000.0013,0,0,0,2,0
254,2054,0,2054000000,4e-06,250000.0006,0,0,0,2,0
254,2170,0,868000000,1e-05,100000.0025,0,0,0,2,0
254,202,0,89777776,9e-06,111111.1072,0,0,0,2,0
254,1334,0,533600000,1e-05,100000.0025,0,0,0,3,0
254,2058,0,1646400000,5e-06,200000.0051,0,0,0,3,0
254,286,0,381333312,3e-06,333333.3215,0,0,0,3,0
254,1500,0,857142848,7e-06,142857.1409,0,0,0,2,0
254,902,0,601333312,6e-06,166666.6608,0,0,0,2,0
254,1626,0,3252000000,2e-06,500000.0013,0,0,0,1,0
254,364,0,208000000,7e-06,142857.1409,0,0,0,1,0
254,530,268,2660.780029,1.434166,10.459041,0.148966,0.079731,0.069235,1,0
254,730,0,417142848,7e-06,142857.1409,0,0,0,2,0
254,530,354,1983.072266,1.924287,8.834441,0.185096,0.095516,0.08958,1,0
